task_name,role,estimate,best_practice
"Конфигурация Horizontal Pod Autoscaler (HPA) на основе custom metrics",devops,16,"Интегрировать Prometheus Adapter и протестировать нагрузку перед релизом"
"Создание NetworkPolicy для ограничения межсервисного трафика в кластере",devops,12,"Применять принцип least privilege и тестировать с помощью kubectl debug"
"Настройка GitOps-подхода с ArgoCD для автоматического синхронизированного деплоя",devops,24,"Хранить манифесты в отдельном Git-репозитории и использовать подписанные коммиты"
"Интеграция cert-manager для автоматической выдачи TLS-сертификатов Ingress",devops,14,"Использовать Let's Encrypt с production-issuer и настроить автоматический renewal"
"Написание технического задания (ТЗ) на основе требований заказчика",analyst,20,"Структурировать ТЗ по разделам: цели, ограничения, функциональные/нефункциональные требования"
"Составление бизнес-требований (БТ) с картой заинтересованных сторон",analyst,16,"Использовать методологию MoSCoW для приоритезации требований"
"Разработка функциональных требований (ФТ) с описанием пользовательских сценариев",analyst,18,"Формулировать требования в формате 'Given-When-Then' для удобства тестирования"
"Создание пользовательской документации для новой фичи (инструкции, скриншоты, FAQ)",analyst,12,"Писать на языке пользователя, избегая технического жаргона"
"Проведение валидации ТЗ/БТ/ФТ с командой разработки и заказчиком",analyst,10,"Организовать review-сессию и зафиксировать все уточнения в changelog документа"
"Написание архитектурного документа (ADR) с обоснованием ключевых решений",architect,24,"Использовать шаблон: проблема, варианты решений, выбранное решение, последствия"
"Создание визуальной схемы компонентов системы в формате C4 (Context, Container, Component)",architect,20,"Использовать инструменты вроде Structurizr или draw.io с единым стилем и легендой"
"Подготовка презентации архитектуры для защиты перед заказчиком",architect,16,"Фокусироваться на бизнес-выгодах, рисках и соответствие нефункциональным требованиям"
"Документирование API-контрактов и integration points для внешних систем",architect,18,"Использовать OpenAPI и сопроводительные схемы последовательностей (sequence diagrams)"
"Обновление архитектурной документации после major-изменений в системе",architect,12,"Вести версионирование документа и ссылаться на соответствующие релизы"
